,name,genres,budget,revenue,runtime,popularity,vote_counts,vote_averages
120,Boomerang,"['Comedy', 'Romance']",40000000.0,70100000.0,117.0,6.506983,139.0,5.4
121,Chungking Express,"['Drama', 'Comedy', 'Romance']",0.0,0.0,102.0,6.778979,249.0,7.9
122,The Star Maker,"['Drama', 'Romance']",0.0,0.0,113.0,1.702639,29.0,6.8
123,Flirting with Disaster,"['Comedy', 'Romance']",7000000.0,14702438.0,92.0,5.579088,66.0,6.3
124,The Neverending Story III: Escape from Fantasia,['Fantasy'],17000000.0,0.0,95.0,6.252377,105.0,4.4
125,The Silences of the Palace,['Drama'],0.0,0.0,116.0,0.406754,3.0,4.3
126,Jupiter's Wife,[],0.0,0.0,87.0,0.001178,0.0,0.0
127,Pie in the Sky,"['Comedy', 'Romance']",0.0,0.0,95.0,0.699066,2.0,7.0
128,Angela,"['Comedy', 'Drama']",0.0,0.0,99.0,2.197439,9.0,5.6
129,Frankie Starlight,"['Drama', 'Romance', 'War']",0.0,0.0,101.0,0.637554,4.0,5.4
130,Jade,"['Action', 'Thriller', 'Mystery', 'Romance']",50000000.0,9851610.0,95.0,11.418917,45.0,5.1
131,Nueba Yol,"['Comedy', 'Drama', 'Romance']",0.0,0.0,102.0,0.291021,1.0,5.5
132,Sonic Outlaws,"['Music', 'Documentary']",0.0,0.0,87.0,0.001838,0.0,0.0
133,Down Periscope,['Comedy'],0.0,0.0,92.0,5.184977,110.0,5.6
134,From the Journals of Jean Seberg,['Documentary'],0.0,0.0,97.0,0.276401,2.0,6.5
135,Man of the Year,['Comedy'],0.0,209935.0,86.0,0.540436,2.0,3.8
136,The Neon Bible,['Drama'],0.0,0.0,91.0,0.370342,5.0,7.2
137,Target,[],0.0,0.0,122.0,0.001205,0.0,0.0
138,Up Close & Personal,"['Drama', 'Romance']",60000000.0,0.0,119.0,3.402749,51.0,5.9
139,The Birdcage,['Comedy'],31000000.0,185260553.0,117.0,6.49968,303.0,6.7
140,Virgin Mary,['Drama'],0.0,0.0,125.0,0.918504,2.0,7.0
141,The Brothers McMullen,"['Comedy', 'Drama', 'Romance']",0.0,0.0,98.0,2.039196,23.0,6.3
142,Bad Boys,"['Action', 'Comedy', 'Crime', 'Thriller']",19000000.0,141407024.0,118.0,9.262184,1729.0,6.5
143,The Amazing Panda Adventure,"['Action', 'Adventure', 'Drama', 'Family']",0.0,0.0,81.0,2.375865,31.0,5.0
144,The Basketball Diaries,"['Drama', 'Crime']",0.0,0.0,102.0,7.415144,472.0,7.2
145,An Awfully Big Adventure,"['Romance', 'Drama', 'Comedy']",4000000.0,851545.0,113.0,0.922958,11.0,6.0
146,Amateur,"['Crime', 'Comedy', 'Drama', 'Thriller']",0.0,0.0,105.0,1.759012,21.0,6.5
147,Apollo 13,['Drama'],52000000.0,355237933.0,140.0,18.761467,1637.0,7.3
148,Rob Roy,['Adventure'],28000000.0,31596911.0,139.0,10.193549,151.0,6.5
149,The Addiction,"['Drama', 'Horror']",0.0,0.0,82.0,3.137285,46.0,6.4
150,Batman Forever,"['Action', 'Crime', 'Fantasy']",100000000.0,336529144.0,121.0,13.321354,1529.0,5.2
151,Belle de Jour,"['Drama', 'Romance']",0.0,0.0,101.0,10.142662,163.0,7.3
152,Beyond Rangoon,"['Drama', 'Thriller']",0.0,0.0,100.0,2.04189,21.0,6.4
153,Blue in the Face,['Comedy'],2000000.0,1275000.0,83.0,11.528147,28.0,6.8
154,Canadian Bacon,"['Action', 'Comedy']",11000000.0,178104.0,91.0,5.391556,57.0,5.9
155,Casper,"['Fantasy', 'Comedy', 'Family']",50000000.0,287928194.0,100.0,12.812539,1045.0,6.0
156,Clockers,"['Mystery', 'Crime', 'Drama']",25000000.0,13071518.0,128.0,4.558992,69.0,6.8
157,Congo,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",50000000.0,152022101.0,109.0,7.260574,214.0,5.0
158,Crimson Tide,"['Action', 'Thriller', 'Drama']",53000000.0,157387195.0,116.0,8.657365,508.0,7.0
159,Crumb,['Documentary'],0.0,3174695.0,119.0,3.620388,71.0,7.6
160,Desperado,"['Thriller', 'Action', 'Crime']",7000000.0,25405445.0,104.0,6.950458,898.0,6.8
161,Devil in a Blue Dress,"['Drama', 'Mystery', 'Thriller']",27000000.0,16140822.0,102.0,4.646132,88.0,6.3
162,Die Hard: With a Vengeance,"['Action', 'Thriller']",90000000.0,366101666.0,128.0,15.138855,2094.0,6.9
163,The Doom Generation,"['Action', 'Comedy', 'Crime', 'Drama']",0.0,0.0,80.0,7.120806,57.0,5.6
164,Feast of July,"['Drama', 'Crime']",0.0,0.0,116.0,0.523575,0.0,0.0
165,First Knight,"['Action', 'Adventure', 'Drama', 'Romance']",55000000.0,127600435.0,134.0,15.178338,319.0,5.9
166,Free Willy 2 - The Adventure Home,['Adventure'],0.0,0.0,95.0,7.575098,130.0,5.5
167,Hackers,"['Action', 'Crime', 'Thriller', 'Drama']",20000000.0,7563728.0,107.0,14.810519,406.0,6.2
168,Jeffrey,"['Comedy', 'Drama', 'Romance']",0.0,0.0,92.0,3.196456,19.0,6.5
169,Johnny Mnemonic,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",25000000.0,19075720.0,97.0,11.715868,380.0,5.5
170,Judge Dredd,['Science Fiction'],90000000.0,113493481.0,96.0,8.184815,643.0,5.4
171,Jury Duty,"['Comedy', 'Drama']",0.0,17014653.0,88.0,3.676921,34.0,4.0
172,Kids,"['Drama', 'Crime']",1500000.0,7412216.0,91.0,4.877872,280.0,6.8
173,Living in Oblivion,"['Drama', 'Comedy']",500000.0,1148752.0,89.0,10.058329,64.0,7.2
174,Lord of Illusions,"['Mystery', 'Horror', 'Thriller']",0.0,0.0,119.0,4.102409,87.0,5.9
175,Love & Human Remains,"['Comedy', 'Drama']",0.0,0.0,100.0,0.354014,7.0,7.0
176,Mad Love,"['Drama', 'Family', 'Romance']",0.0,15453274.0,95.0,2.624771,27.0,5.5
177,Mallrats,"['Romance', 'Comedy']",6000000.0,2122561.0,94.0,8.25547,400.0,6.8
178,Mighty Morphin Power Rangers: The Movie,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",15000000.0,66000000.0,92.0,7.024227,153.0,5.2
179,Moonlight and Valentino,"['Comedy', 'Drama', 'Romance']",0.0,0.0,100.0,1.01115,10.0,5.6
180,Mute Witness,"['Thriller', 'Foreign']",2.0,1.0,95.0,2.466066,36.0,6.4
181,Nadja,"['Horror', 'Thriller']",0.0,0.0,93.0,7.720056,12.0,5.9
182,The Net,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",22000000.0,110627965.0,114.0,13.304342,359.0,5.6
183,Nine Months,['Comedy'],0.0,69660733.0,103.0,8.482834,171.0,5.5
184,Party Girl,['Comedy'],150000.0,472370.0,94.0,1.165039,14.0,5.8
185,The Prophecy,"['Fantasy', 'Horror', 'Thriller']",8.0,16.0,98.0,10.187623,139.0,6.4
186,Reckless,"['Fantasy', 'Comedy', 'Drama']",0.0,0.0,91.0,0.119713,1.0,10.0
187,Safe,['Drama'],0.0,0.0,119.0,8.180047,62.0,7.2
188,The Scarlet Letter,"['Drama', 'History', 'Romance']",50000000.0,10382407.0,135.0,6.752119,111.0,5.5
189,The Show,['Documentary'],0.0,0.0,93.0,0.159596,2.0,5.3
190,Showgirls,['Drama'],45000000.0,20350754.0,128.0,17.502375,261.0,4.9
191,Smoke,"['Comedy', 'Drama']",7000000.0,8349430.0,112.0,5.552946,115.0,7.2
192,Something to Talk About,['Comedy'],0.0,50892160.0,106.0,3.743212,60.0,5.7
193,Species,"['Science Fiction', 'Horror', 'Action']",35000000.0,113374103.0,108.0,13.492845,457.0,5.5
194,The Stars Fell on Henrietta,['Drama'],0.0,0.0,109.0,0.913522,6.0,6.6
195,Strange Days,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",42000000.0,7959291.0,145.0,11.223055,334.0,6.8
196,The Umbrellas of Cherbourg,"['Drama', 'Romance']",0.0,0.0,91.0,8.133881,119.0,7.6
197,The Tie That Binds,['Thriller'],14000000.0,5780000.0,99.0,1.820419,9.0,4.6
198,Three Wishes,"['Drama', 'Fantasy']",0.0,7025496.0,115.0,11.002046,18.0,6.1
199,Total Eclipse,"['Drama', 'Romance']",0.0,339889.0,111.0,4.546552,112.0,6.5
200,"To Wong Foo, Thanks for Everything! Julie Newmar",['Comedy'],0.0,47774193.0,105.0,7.653446,117.0,6.3
201,Under Siege 2: Dark Territory,"['Action', 'Thriller']",60000000.0,104324083.0,100.0,7.490247,217.0,5.6
202,Unstrung Heroes,"['Comedy', 'Drama', 'Family']",0.0,0.0,93.0,2.881689,9.0,6.4
203,Unzipped,['Documentary'],0.0,0.0,73.0,0.786023,6.0,6.0
204,A Walk in the Clouds,"['Drama', 'Romance']",20000000.0,50012507.0,103.0,9.715639,168.0,6.5
205,Waterworld,"['Adventure', 'Action']",175000000.0,264218220.0,135.0,16.885184,1017.0,5.9
206,White Man's Burden,['Drama'],8000000.0,0.0,89.0,1.834099,25.0,5.1
207,Wild Bill,"['Action', 'Western']",30000000.0,0.0,98.0,8.922139,27.0,5.9
208,The Browning Version,['Drama'],0.0,0.0,97.0,3.727644,11.0,6.0
209,Bushwhacked,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",0.0,0.0,90.0,3.287036,29.0,4.9
210,Burnt by the Sun,['Drama'],2800000.0,2616503.0,135.0,2.486073,35.0,6.7
211,Before the Rain,"['Drama', 'War']",0.0,763847.0,113.0,3.525649,45.0,7.7
212,Before Sunrise,"['Drama', 'Romance']",2500000.0,5535405.0,105.0,11.304979,984.0,7.7
213,Billy Madison,['Comedy'],10000000.0,26488734.0,89.0,6.638116,464.0,6.2
214,The Babysitter,"['Drama', 'Thriller']",0.0,0.0,90.0,2.761837,27.0,4.7
215,Boys on the Side,"['Comedy', 'Drama']",21000000.0,23450000.0,115.0,3.030309,48.0,6.3
216,The Cure,"['Drama', 'Family']",0.0,0.0,97.0,2.686342,58.0,7.2
217,Castle Freak,"['Thriller', 'Drama', 'Horror', 'Mystery']",0.0,0.0,95.0,2.26977,40.0,5.8
218,Circle of Friends,"['Drama', 'Family', 'Romance']",0.0,0.0,103.0,2.605521,30.0,6.5
219,Clerks,['Comedy'],27000.0,3151130.0,92.0,10.513367,769.0,7.4
220,Don Juan DeMarco,"['Romance', 'Drama', 'Comedy']",25000000.0,22200000.0,97.0,7.438934,184.0,6.3
221,Disclosure,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",55000000.0,214015089.0,123.0,11.812244,217.0,5.9
222,Dream Man,['Thriller'],0.0,0.0,0.0,0.155859,1.0,2.5
223,Drop Zone,"['Action', 'Adventure', 'Thriller']",45000000.0,0.0,101.0,9.579155,91.0,5.1
224,Destiny Turns on the Radio,"['Crime', 'Comedy', 'Fantasy']",0.0,0.0,0.0,0.710671,9.0,5.3
225,Death and the Maiden,"['Drama', 'Thriller', 'Mystery']",0.0,0.0,103.0,5.484156,92.0,7.1
226,Dolores Claiborne,"['Crime', 'Drama', 'Mystery']",0.0,0.0,132.0,5.8025,183.0,7.1
227,Dumb and Dumber,['Comedy'],16000000.0,247275374.0,107.0,9.844558,1894.0,6.5
228,Eat Drink Man Woman,"['Comedy', 'Drama', 'Romance']",0.0,7294403.0,123.0,4.860016,76.0,7.5
229,Exotica,"['Drama', 'Mystery']",0.0,0.0,103.0,5.378467,64.0,6.5
230,Exit to Eden,"['Thriller', 'Comedy', 'Crime', 'Romance']",0.0,6841570.0,113.0,4.322726,28.0,4.3
231,Ed Wood,"['Comedy', 'Drama', 'History']",18000000.0,5887457.0,127.0,11.720358,639.0,7.3
232,French Kiss,"['Comedy', 'Romance']",0.0,0.0,111.0,9.146544,179.0,6.2
233,Forget Paris,"['Comedy', 'Drama', 'Romance']",0.0,0.0,101.0,16.236745,38.0,6.1
234,Far from Home: The Adventures of Yellow Dog,"['Action', 'Adventure', 'Drama', 'Family']",0.0,0.0,87.0,2.657337,27.0,5.6
235,A Goofy Movie,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",0.0,35348597.0,78.0,10.177977,404.0,6.7
236,Hideaway,"['Drama', 'Thriller']",15000000.0,12201255.0,103.0,8.182165,24.0,5.0
237,Fluke,"['Drama', 'Family', 'Fantasy']",0.0,0.0,96.0,4.953936,48.0,6.6
238,Farinelli,"['History', 'Drama']",0.0,0.0,111.0,8.935058,20.0,5.9
239,Gordy,"['Drama', 'Family', 'Fantasy']",0.0,3992809.0,90.0,0.398924,4.0,3.0
240,Gumby: The Movie,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",0.0,0.0,77.0,0.090452,2.0,5.0
241,The Glass Shield,"['Drama', 'Action', 'Thriller', 'Crime']",0.0,0.0,109.0,1.012197,9.0,5.4
242,Hoop Dreams,['Documentary'],700000.0,7830611.0,171.0,9.47666,91.0,7.7
243,Heavenly Creatures,"['Drama', 'Fantasy']",5000000.0,3049135.0,99.0,9.438042,299.0,6.9
244,Houseguest,"['Comedy', 'Family']",10500000.0,26325256.0,113.0,2.688562,17.0,6.0
245,Immortal Beloved,"['Drama', 'Music', 'Romance']",120.0,0.0,121.0,7.983666,90.0,6.9
246,Heavyweights,"['Comedy', 'Family', 'Drama']",0.0,17689177.0,100.0,9.546707,97.0,6.0
247,The Hunted,"['Action', 'Thriller']",0.0,0.0,106.0,2.756986,25.0,6.0
248,I.Q.,"['Comedy', 'Drama', 'Romance']",25000000.0,0.0,100.0,5.146352,112.0,5.9
249,Interview with the Vampire,"['Horror', 'Romance']",60000000.0,223664608.0,123.0,11.970205,1558.0,7.2
250,Jefferson in Paris,"['Drama', 'Romance']",14000000.0,2474000.0,139.0,1.596058,10.0,5.2
251,The Jerky Boys,"['Comedy', 'Crime']",0.0,0.0,82.0,0.748846,10.0,4.8
252,Junior,"['Comedy', 'Family', 'Romance']",60000000.0,37000000.0,109.0,6.710215,381.0,4.7
253,Just Cause,"['Action', 'Drama', 'Mystery', 'Thriller']",0.0,0.0,102.0,9.195256,124.0,6.0
254,A Kid in King Arthur's Court,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",0.0,0.0,89.0,5.874511,40.0,4.3
255,Kiss of Death,"['Action', 'Crime', 'Drama', 'Thriller']",40000000.0,0.0,101.0,7.797512,83.0,5.7
256,Star Wars,"['Adventure', 'Action', 'Science Fiction']",11000000.0,775398007.0,121.0,42.149697,6778.0,8.1
257,Little Women,"['Drama', 'Romance']",18000000.0,0.0,115.0,9.774994,222.0,7.0
258,A Little Princess,"['Drama', 'Family', 'Fantasy']",17000000.0,0.0,97.0,7.731725,207.0,7.4
259,Ladybird Ladybird,['Drama'],0.0,0.0,101.0,0.84508,14.0,7.4
260,L'Enfer,"['Crime', 'Drama']",10000000.0,0.0,100.0,1.948315,22.0,6.6
